D6frFp-VwHs	yetube	821	Entertainment	30	554455	3.54	2813	422
0Lg4i2C6zws	TNAwrestling	821	Sports	573	191461	4.46	217	111
UJpgxqYGws4	jrc0803	820	Sports	55	160852	4.09	486	423
BAPwg5nCKxE	milanoss	820	Film & Animation	578	170536	4.06	82	91
vVJ06ixj19Q	PimpimusPrime	820	Film & Animation	29	95950	4.61	134	185
UbhEunreGwQ	milanoss	820	Film & Animation	525	113422	4.06	48	44
sR2n3_fg-bY	koushibom	821	News & Politics	94	70136	3.79	38	36
ZB-MtI2sgP4	hotelcalifornians	820	Autos & Vehicles	77	77178	4.13	142	148
n-cLsNrL6W8	ganggeneral	820	Music	200	72386	3.55	279	279
KsL1F4HFxv0	deej240z	821	Entertainment	17	39270	4.51	41	60
rCvifZybyLg	autoknipsfix	821	Autos & Vehicles	91	36347	4.2	84	82
xcQQ05XtAQ4	RonPaul2008dotcom	821	News & Politics	295	47309	4.89	1263	736
CySrshUMwIw	blacktreemedia	821	People & Blogs	242	78879	4.08	216	349
uZtjiITa8FE	AllHipHopcom	820	Music	191	55069	3.34	119	127
CN-rHMWlB4w	soccerstar4ever	820	People & Blogs	192	45006	2.95	187	219
CY86R1qjgDc	CBS	821	News & Politics	123	61187	3.8	122	12
pZiQBoG8K8E	nalts	821	Comedy	210	56230	3.84	887	469
V__TtNHKXLU	Orkunyk	821	Film & Animation	599	27399	4.87	104	31
pzgEJh6stMA	NBA	821	Sports	118	34627	4.34	61	57
-HYvHGo5ce8	blacktreemedia	821	People & Blogs	129	51705	4.62	99	173
dh7Xxxhhr_8	NBA	821	Sports	126	25750	4.56	62	53
ut-RQaJum1c	DoctorArzt	820	Entertainment	29	30109	4.95	38	47
MHor7QwhLY0	leorai	821	Entertainment	40	25229	2.75	8	7
c2wkbdBprDw	ashleytisdale	821	People & Blogs	44	24717	4.55	446	434
shoyObDet4Q	lbracci	820	News & Politics	1529	24533	4.24	38	67
_7KUs1TBkCc	hollywoodrecords	820	Music	199	28640	4.55	65	31
yDJAIT6Y5dI	correoyahoo	821	Comedy	34	33895	3.93	44	34
_IDfKKWBEZk	pundital	820	News & Politics	573	40935	4.76	155	215
i5QF8-JmVm8	TIinstoresjuly3rd	820	Music	307	27636	4.71	163	134
HXCWXLvJumo	TheKlasix	820	Music	164	20410	4.69	13	25
rF3NtEWj6ws	VoteRonPaul08	820	News & Politics	363	24460	4.9	343	292
R1lyKwlvkns	freemovies125	820	Comedy	98	28624	4.54	82	20
hOgvS9c5Kz0	Orkunyk	821	Film & Animation	535	20141	5	74	16
P4im8gGPdGM	karpmax	821	People & Blogs	62	19973	4.18	11	15
JX7zrbrnaOI	NOWWUT	821	Entertainment	59	19791	3.31	32	69
jdkyugXj9Pg	brandt4797	820	Music	200	31671	4.54	172	141
R0HEKTr6wrc	tpmtv	821	News & Politics	67	27474	4.61	84	90
8OkkJEt52HM	bountyTR	821	Film & Animation	26	19644	4.86	7	13
9OLYrVcjmzM	casperjello	820	Autos & Vehicles	2	21754	4	37	25
s7uXvqfQvNI	TygerClaw	821	Entertainment	152	39929	4.87	180	188
kxvT_F8GYV4	DoctorArzt	820	Entertainment	29	18794	4.44	9	8
CndugLgU02U	Orkunyk	821	Film & Animation	447	24484	4.85	86	14
_idZr95SEAM	lostpromos	820	Entertainment	30	20441	5	24	12
FXZBLli0_sA	GayGod	820	Entertainment	205	28006	3.53	337	575
9GCUEamZRSs	casperjello	820	Autos & Vehicles	2	16866	4.11	27	23
MYSuY2UIj9U	Orkunyk	821	Film & Animation	419	16339	4.92	64	6
_S2ODLHD_xk	Orkunyk	821	Film & Animation	359	22643	4.97	68	10
wBbQKSvQ5h4	Orkunyk	821	Film & Animation	380	16006	4.98	61	7
mjmbJm7idkI	NBA	821	Sports	24	21217	4.59	32	71
fu_GNJwUnxM	DiziTube	821	Entertainment	393	15614	4.92	354	127
sYv8vzKKDVs	GWrocks09	820	Entertainment	98	18912	4.87	63	125
JNiGret7EW4	aat08	821	Entertainment	52	29449	2	50	52
ZWFtVnqMFu8	Daxflame	821	People & Blogs	236	24769	3.44	882	1472
j_qUvgfzuPM	bgcaplay	820	News & Politics	312	14986	2.57	177	78
D2FXCczEYCI	Orkunyk	821	Film & Animation	398	21848	4.91	66	16
QSeKvw7KnN4	Orkunyk	821	Film & Animation	159	14780	4.79	80	52
amH3qAu9RA4	blink182this	820	Music	135	17376	4.74	115	179
_Z1X9zpBe_A	DharmaSecrets	820	Entertainment	30	16757	4.81	16	12
DHDCITa7RyA	GWrocks09	820	Entertainment	153	17171	4.36	36	140
N0p17EQaUsA	Orkunyk	821	Film & Animation	457	20447	4.93	68	12
ceIXPrfuGxg	puratrampa	820	News & Politics	110	16138	2.29	7	7
6vzQ7fCTqzU	Orkunyk	821	Film & Animation	406	13990	4.92	49	8
QsLKiPX9Kn4	Orkunyk	821	Film & Animation	389	13732	4.84	74	12
TJolUxvL3sQ	chriseliterbd	820	Entertainment	369	18302	5	125	18
doKkOSMaTk4	berkeleyguy0	821	News & Politics	585	20025	4.85	229	315
tXinnBzRSzg	txvoodoo	820	Entertainment	22	13673	4.5	16	19
A5d-7KFINqM	vinnicamara	821	Entertainment	459	19187	4.84	74	34
yZDNwXle154	ootpmovievids	821	Entertainment	30	47213	4.81	58	29
-4R-4Q7vppg	HockeyCrazyRrazy	820	Entertainment	156	13572	4.45	29	124
IBM8VOpC6Mg	Brookers	820	Music	140	17018	4.31	548	348
eNQidcorW_g	chriseliterbd	820	Entertainment	424	18506	4.87	124	17
T_VC8iH7lXQ	serkanserkanserkannn	821	News & Politics	40	13052	3.4	5	2
v74fPO89L0U	Orkunyk	821	Film & Animation	398	12588	4.93	55	12
DE2O9CtuU5o	sundancechannel	821	Entertainment	73	21788	4.41	73	124
H23vitezN2E	vinnicamara	821	Entertainment	542	19689	4.7	74	85
Gp8WFljRHsQ	ysabellabrave	821	Music	223	17005	4.58	697	344
G3bz3ZVjcEU	TVGuy88	820	Entertainment	123	11920	3.55	31	185
YPbr5L4ByfE	koushibom	821	News & Politics	415	15045	3.33	3	11
fCDZnp4Pv4g	SoftAnime	820	Film & Animation	544	18110	4.44	50	30
Cvu373qjj7A	NeedToBe2007	820	Music	304	14330	4	21	21
lyfkVooQnmo	alanyukfoo	820	Music	197	11571	5	21	12
koI4vN8Qosw	vinnicamara	821	Entertainment	533	17071	4.77	62	31
wWrEEKNjIAY	TNAwrestling	821	Sports	223	11547	4.54	59	42
Rl3rEL8AlbI	Brookers	820	Comedy	70	15119	4.05	465	347
tOF8-Z7yQ_U	joystiq	820	Gadgets & Games	88	10991	4.47	30	25
KY7MdPMyuhA	chriseliterbd	820	Entertainment	558	14845	4.99	130	27
-RN_nY3RLsY	chriseliterbd	820	Entertainment	395	14772	5	118	20
QdTZQkfkG0Q	animeswordns14s1	821	Film & Animation	252	18277	4.87	94	13
oJWaEPxfgW8	Danoramma	820	Entertainment	133	11404	3.97	32	152
785FtaTTezo	daisytree1	821	Entertainment	64	24954	3.15	54	43
RoFq0Be-6q0	DiziTube	821	Entertainment	596	10532	4.96	142	16
MxR99EdoZmE	chriseliterbd	820	Entertainment	183	14263	4.97	86	13
o57wrk4mKvM	DharmaSecrets	820	Entertainment	29	10448	4.6	10	34
kaAdnLOuoAY	europeansportservice	820	Sports	333	10301	4.8	25	13
UaxZ63N0rRk	elfactorx	820	Entertainment	140	14235	4.79	14	16
6P1IR84LwI4	hydroax	820	People & Blogs	15	18533	1.8	5	4
6J2mr5zKgsk	vinnicamara	821	Entertainment	422	10164	4.88	58	50
EKXR3zmpnvY	TIvsTIP	821	Music	32	11827	4.82	11	15
73om6gY8XSA	nogoodtv	820	Comedy	442	644674	2.55	793	311
yDbX8I202VU	medakaschool	820	Sports	74	529826	4.53	1347	1145
gbDD5HLwifY	myhumpsfergie123456	819	Music	304	384435	3.6	1227	962
RGc-F_0Y7tM	infrastructurdeep	820	Comedy	254	313693	4.38	1571	1626
6l7P_dZQtac	jarts	820	Comedy	17	287000	4.67	466	304
JqOeDW5wu_E	earthbrightfuture	819	Comedy	15	235198	3.59	343	572
3FV7XU-TLMU	hillaryclintondotcom	820	News & Politics	53	277309	2.8	2038	50
tKKLUIOpvSE	CelebTV	820	Entertainment	45	197144	1.87	587	221
pZnWxzFMCHg	AvrilLavigneSucks	819	Music	304	226893	4.51	579	465
nlWOu9FHm-I	truefaithisle	820	Film & Animation	250	212185	4.62	1154	1713
vJRDZE5xW2Y	ecogeeky	816	News & Politics	114	169722	4.71	17	15
8NPwJu42aUo	moonkeyz	819	Comedy	32	174327	1.99	1561	2243
YkAPaEMwyKU	TRUEADONIS	819	News & Politics	292	166576	4.76	1423	1368
mY5qJHZCz2I	DraX360	818	Comedy	88	160177	4.79	358	174
bOfAPHJTagY	BANGOUTCLIQUECOM	819	Entertainment	17	164822	4.68	638	928
kMg0gGaMe0Q	tibermedia	819	Entertainment	235	187497	4.73	402	323
izk3aYS9FIA	truefaithisle	820	Entertainment	61	138296	4.31	552	490
HkRUHugg8vU	jrc0803	819	Comedy	107	131531	3.72	990	1148
